task_id,dataset_name,version,n_samples,n_features,perc_majority_class,perc_minority_class
233115,Australian,0,690,15,55.51,44.49
233146,Click_prediction_small,4,399482,12,83.21,16.79
233143,CreditCardFraudDetection,2,284807,31,99.83,0.17
233121,Devnagari-Script,0,92000,1025,2.17,2.17
233118,Fashion-MNIST,0,70000,785,10.0,10.0
233126,MiniBooNE,0,130064,51,71.94,28.06
233099,adult,0,48842,15,76.07,23.93
233142,aloi,0,108000,129,0.1,0.1
233090,anneal,0,898,39,76.17,0.89
233092,arrhythmia,0,452,280,54.2,0.44
233110,bank-marketing,0,45211,17,88.3,11.7
233109,blood-transfusion-service-center,0,748,5,76.2,23.8
233116,car,0,1728,7,70.02,3.76
233131,christine,0,5418,1637,50.0,50.0
233108,cnae-9,0,1080,857,11.11,11.11
233112,connect-4,0,67557,43,65.83,9.55
233088,credit-g,0,1000,21,70.0,30.0
233132,dilbert,0,10000,2001,20.49,19.13
233137,dionis,0,416188,61,0.59,0.21
233133,fabert,0,8237,801,23.39,6.09
233122,helena,0,65196,28,6.14,0.17
233114,higgs,0,98050,29,52.86,47.14
233123,jannis,0,83733,55,46.01,2.01
233134,jasmine,0,2984,145,50.0,50.0
233119,jungle_chess_2pcs_raw_endgame_complete,1,44819,7,51.46,9.67
233096,kc1,0,2109,22,84.54,15.46
233091,kr-vs-kp,1,3196,37,52.22,47.78
233106,ldpa,0,164860,8,33.05,0.84
233093,mfeat-factors,0,2000,217,10.0,10.0
233107,nomao,0,34465,119,71.44,28.56
233120,numerai28.6,0,96320,22,50.52,49.48
233103,phoneme,0,5404,6,70.65,29.35
233117,segment,0,2310,20,14.29,14.29
233113,shuttle,0,58000,10,78.6,0.02
233104,skin-segmentation,0,245057,4,79.25,20.75
233135,sylvine,0,5124,21,50.0,50.0
233094,vehicle,0,846,19,25.77,23.52
233124,volkert,0,58310,181,21.96,2.33
233102,walking-activity,0,149332,5,14.73,0.61
